"REL_CTGRY_TXT","PRNT_TBL_NM","PRNT_COL_NM","CHLD_TBL_NM","CHLD_COL_NM","ACTIVE_FLG"
"FRAUD_CLM","CLM","CLM_BUS_ID","BKD","CLM_BUS_ID",1
"FRAUD_CLM","CLM","CLM_BUS_ID","CLM_INVSTGT","CLM_BUS_ID",1
"FRAUD_CLM","CLM","CLM_BUS_ID","DOC","CLM_BUS_ID",1
"FRAUD_CLM","CLM","CLM_BUS_ID","INVLVD_PRPRTY","CLM_BUS_ID",1
"FRAUD_CLM","CLM","CLM_BUS_ID","INVLVD_PRSN","CLM_BUS_ID",1
"FRAUD_CLM","CLM","CLM_BUS_ID","LTGTN","CLM_BUS_ID",1
"FRAUD_CLM","CNTRCT","CNTRCT_BUS_ID","BKD","CNTRCT_BUS_ID",1
"FRAUD_CLM","CNTRCT","CNTRCT_BUS_ID","CVR","CNTRCT_BUS_ID",1
"FRAUD_CLM","CNTRCT","CNTRCT_BUS_ID","DOC","CNTRCT_BUS_ID",1
"FRAUD_CLM","CNTRCT","CNTRCT_BUS_ID","PLCY_HLD","CNTRCT_BUS_ID",1
"FRAUD_CLM","CNTRCT","CNTRCT_BUS_ID","PRSN_CNTRCT_REL","CNTRCT_BUS_ID",1
"FRAUD_CLM","CVR","CVR_BUS_ID","BKD","CVR_BUS_ID",1
"FRAUD_CLM","CVR","CVR_BUS_ID","CVR_ITEM","CVR_BUS_ID",1
"FRAUD_CLM","CVR","CVR_BUS_ID","INS_PRPRTY","CVR_BUS_ID",1
"FRAUD_CLM","CVR","CVR_BUS_ID","INS_PRSN","CVR_BUS_ID",1
"FRAUD_CLM","LOSS_EVENT","LOSS_EVENT_BUS_ID","DMG","LOSS_EVENT_BUS_ID",1
"FRAUD_CLM","LOSS_EVENT","LOSS_EVENT_BUS_ID","INVLVD_PRPRTY","LOSS_EVENT_BUS_ID",1
"FRAUD_CLM","LOSS_EVENT","LOSS_EVENT_BUS_ID","INVLVD_PRSN","LOSS_EVENT_BUS_ID",1
"FRAUD_CLM","LOSS_EVENT","LOSS_EVENT_BUS_ID","LOSS_EVENT_DESC","LOSS_EVENT_BUS_ID",1
"FRAUD_CLM","LOSS_EVENT","LOSS_EVENT_BUS_ID","LOSS_EVENT_ADDR","LOSS_EVENT_BUS_ID",1
"FRAUD_CLM","LOSS_EVENT","LOSS_EVENT_BUS_ID","AUTHRTY_RPRT","LOSS_EVENT_BUS_ID",1
"FRAUD_CLM","PRPRTY","PRPRTY_BUS_ID","INS_PRPRTY","PRPRTY_BUS_ID",1
"FRAUD_CLM","PRPRTY","PRPRTY_BUS_ID","VEH","PRPRTY_BUS_ID",1
"FRAUD_CLM","VEH","VEH_BUS_ID","VEH_ODOMTR_CNT","VEH_BUS_ID",1
"FRAUD_CLM","INVLVD_PRPRTY","PRPRTY_BUS_ID","PRPRTY","PRPRTY_BUS_ID",1
